VN123-20251025|Vietnam Airlines-HAN-SGN|VN123|25/10/2025|08:30|25/10/2025|10:40|150|150|20|20|1200000|3500000
VJ234-20251025|Vietjet Air-SGN-HAN|VJ234|25/10/2025|14:45|25/10/2025|16:55|180|180|12|12|1150000|3200000
QH345-20251026|Bamboo Airways-DAD-SGN|QH345|26/10/2025|06:15|26/10/2025|07:30|160|160|16|16|850000|2800000
VN456-20251026|Vietnam Airlines-SGN-DAD|VN456|26/10/2025|19:00|26/10/2025|20:15|170|170|18|18|950000|2900000
BL567-20251027|Pacific Airlines-HAN-CXR|BL567|27/10/2025|09:00|27/10/2025|10:45|155|155|14|14|900000|2700000
VN123-20251027|Vietnam Airlines-HAN-SGN|VN123|27/10/2025|15:00|27/10/2025|17:10|150|150|20|20|1250000|3600000
VJ678-20251028|Vietjet Air-PQC-SGN|VJ678|28/10/2025|11:20|28/10/2025|12:20|180|180|12|12|1000000|3000000
VN067-20251028|Vietnam Airlines-HAN-DAD|VN067|28/10/2025|13:00|28/10/2025|14:15|165|165|16|16|880000|2850000
VJ089-20251029|Vietjet Air-HAN-SGN|VJ089|29/10/2025|10:00|29/10/2025|12:10|175|175|14|14|1180000|3300000
BL090-20251029|Pacific Airlines-SGN-HAN|BL090|29/10/2025|18:15|29/10/2025|20:25|160|160|18|18|1100000|3100000
VN123-20251030|Vietnam Airlines-HAN-SGN|VN123|30/10/2025|07:00|30/10/2025|09:10|150|150|20|20|1200000|3500000
VJ234-20251030|Vietjet Air-SGN-HAN|VJ234|30/10/2025|13:30|30/10/2025|15:40|180|180|12|12|1150000|3200000
QH345-20251031|Bamboo Airways-DAD-SGN|QH345|31/10/2025|06:45|31/10/2025|07:55|160|160|16|16|850000|2800000
VN456-20251031|Vietnam Airlines-SGN-DAD|VN456|31/10/2025|18:10|31/10/2025|19:25|170|170|18|18|950000|2900000
BL567-20251101|Pacific Airlines-HAN-CXR|BL567|01/11/2025|08:20|01/11/2025|10:05|155|155|14|14|900000|2700000
VJ678-20251101|Vietjet Air-PQC-SGN|VJ678|01/11/2025|15:45|01/11/2025|17:55|150|150|20|20|1250000|3600000
QH789-20251102|Bamboo Airways-SGN-HUI|QH789|02/11/2025|11:30|02/11/2025|12:35|180|180|12|12|1000000|3000000
VN890-20251102|Vietnam Airlines-CXR-HAN|VN890|02/11/2025|14:10|02/11/2025|15:25|165|165|16|16|880000|2850000
BL901-20251103|Pacific Airlines-DAD-SGN|BL901|03/11/2025|09:40|03/11/2025|11:55|175|175|14|14|1180000|3300000
VJ012-20251103|Vietjet Air-SGN-CXR|VJ012|03/11/2025|17:00|03/11/2025|19:10|160|160|18|18|1100000|3100000
VN023-20251104|Vietnam Airlines-DLI-SGN|VN023|04/11/2025|07:15|04/11/2025|09:25|150|150|20|20|1230000|3400000
QH034-20251104|Bamboo Airways-HAN-UIH|QH034|04/11/2025|12:40|04/11/2025|14:50|180|180|12|12|1120000|3150000
VJ045-20251105|Vietjet Air-SGN-THD|VJ045|05/11/2025|06:20|05/11/2025|08:30|160|160|16|16|880000|2750000
BL056-20251105|Pacific Airlines-CXR-DAD|BL056|05/11/2025|19:05|05/11/2025|21:15|170|170|18|18|970000|2950000
VN067-20251106|Vietnam Airlines-HAN-DAD|VN067|06/11/2025|08:50|06/11/2025|10:35|155|155|14|14|910000|2800000
QH078-20251106|Bamboo Airways-SGN-HPH|QH078|06/11/2025|15:30|06/11/2025|17:45|150|150|20|20|1260000|3550000
VJ089-20251107|Vietjet Air-HAN-SGN|VJ089|07/11/2025|10:10|07/11/2025|12:25|180|180|12|12|1020000|3050000
BL090-20251107|Pacific Airlines-SGN-HAN|BL090|07/11/2025|14:25|07/11/2025|16:35|165|165|16|16|890000|2900000
VN101-20251108|Vietnam Airlines-HAN-CXR|VN101|08/11/2025|09:35|08/11/2025|11:50|175|175|14|14|1190000|3350000
QH112-20251108|Bamboo Airways-DAD-SGN|QH112|08/11/2025|18:20|08/11/2025|20:35|160|160|18|18|1080000|3150000
VJ123-20251109|Vietjet Air-SGN-DAD|VJ123|09/11/2025|06:50|09/11/2025|09:00|150|150|20|20|1210000|3450000
BL134-20251109|Pacific Airlines-HAN-PQC|BL134|09/11/2025|13:00|09/11/2025|15:10|180|180|12|12|1140000|3180000
VN145-20251110|Vietnam Airlines-SGN-HAN|VN145|10/11/2025|07:30|10/11/2025|09:45|160|160|16|16|860000|2780000
