BKG-00001|FI-00001|AGT-001|001|A01|15/01/2025 08:30:00|1|3200000|0
BKG-00002|FI-00002|AGT-002|002|A02|18/01/2025 10:45:00|0|1800000|0
BKG-00003|FI-00003|AGT-003|003|B03|25/01/2025 14:15:00|0|2100000|0
BKG-00004|FI-00004|AGT-004|004|C01|02/02/2025 06:00:00|1|4500000|0
BKG-00005|FI-00005|AGT-005|005|D07|05/02/2025 09:00:00|0|2300000|0
BKG-00006|FI-00006|AGT-006|006|E05|10/02/2025 17:15:00|1|4000000|0
BKG-00007|FI-00007|AGT-007|007|F09|12/03/2025 07:30:00|0|2100000|0
BKG-00008|FI-00008|AGT-008|008|A06|16/03/2025 12:15:00|1|3800000|0
BKG-00009|FI-00009|AGT-009|009|B02|20/03/2025 15:30:00|0|1900000|1
BKG-00010|FI-00010|AGT-010|010|C03|25/03/2025 08:45:00|1|4200000|0
BKG-00011|FI-00011|AGT-011|011|D05|03/04/2025 10:00:00|0|2300000|0
BKG-00012|FI-00012|AGT-012|012|E08|07/04/2025 13:15:00|1|4100000|0
BKG-00013|FI-00013|AGT-013|013|F04|10/04/2025 18:00:00|0|2500000|0
BKG-00014|FI-00014|AGT-014|014|A07|15/04/2025 08:00:00|1|4700000|0
BKG-00015|FI-00015|AGT-015|015|B09|19/05/2025 09:30:00|0|2600000|0
BKG-00016|FI-00016|AGT-016|016|C10|21/05/2025 14:00:00|1|4300000|0
BKG-00017|FI-00017|AGT-017|017|D02|25/05/2025 19:45:00|0|2200000|0
BKG-00018|FI-00018|AGT-018|018|E03|02/06/2025 07:00:00|1|4800000|0
BKG-00019|FI-00019|AGT-019|019|F06|05/06/2025 10:15:00|0|2400000|1
BKG-00020|FI-00020|AGT-020|020|A10|10/06/2025 15:00:00|1|4600000|0
BKG-00021|FI-00021|AGT-001|021|B04|12/07/2025 09:00:00|0|2500000|0
BKG-00022|FI-00022|AGT-002|022|C08|15/07/2025 12:30:00|1|4700000|0
BKG-00023|FI-00023|AGT-003|023|D11|20/07/2025 16:45:00|0|2700000|0
BKG-00024|FI-00024|AGT-004|024|E07|22/07/2025 19:30:00|1|4900000|0
BKG-00025|FI-00025|AGT-005|025|F05|30/07/2025 11:15:00|0|2300000|0
BKG-00026|FI-00026|AGT-006|026|A03|04/08/2025 07:30:00|1|5000000|0
BKG-00027|FI-00027|AGT-007|027|B08|07/08/2025 10:45:00|0|2200000|0
BKG-00028|FI-00028|AGT-008|028|C06|10/08/2025 14:00:00|1|5100000|0
BKG-00029|FI-00029|AGT-009|029|D04|14/09/2025 08:15:00|0|2700000|0
BKG-00030|FI-00030|AGT-010|030|E02|18/09/2025 17:30:00|1|5200000|0
BKG-00031|FI-00031|AGT-011|031|F03|22/09/2025 09:45:00|0|2400000|0
BKG-00032|FI-00032|AGT-012|032|A09|25/09/2025 12:15:00|1|5300000|0
BKG-00033|FI-00033|AGT-013|033|B01|29/09/2025 15:00:00|0|2600000|1
BKG-00034|FI-00034|AGT-014|034|C05|04/10/2025 07:30:00|1|5400000|0
BKG-00035|FI-00035|AGT-015|035|D10|07/10/2025 09:00:00|0|2700000|0
BKG-00036|FI-00036|AGT-016|036|E09|10/10/2025 14:15:00|1|5500000|0
BKG-00037|FI-00037|AGT-017|037|F08|14/10/2025 18:00:00|0|2400000|0
BKG-00038|FI-00038|AGT-018|038|A04|18/11/2025 08:00:00|1|5600000|0
BKG-00039|FI-00039|AGT-019|039|B07|20/11/2025 10:30:00|0|2500000|0
BKG-00040|FI-00040|AGT-020|040|C11|22/11/2025 13:45:00|1|5700000|0
BKG-00041|FI-00041|AGT-001|041|D03|26/11/2025 19:00:00|0|2600000|1
BKG-00042|FI-00042|AGT-002|042|E01|30/11/2025 09:30:00|1|5800000|0
BKG-00043|FI-00043|AGT-003|043|F02|05/12/2025 10:00:00|0|2700000|0
BKG-00044|FI-00044|AGT-004|044|A08|08/12/2025 14:45:00|1|5900000|0
BKG-00045|FI-00045|AGT-005|045|B10|12/12/2025 17:30:00|0|2800000|0
BKG-00046|FI-00046|AGT-006|046|C04|15/12/2025 08:15:00|1|6000000|0
BKG-00047|FI-00047|AGT-007|047|D09|18/12/2025 10:30:00|0|2700000|0
BKG-00048|FI-00048|AGT-008|048|E06|20/12/2025 13:00:00|1|6100000|0
BKG-00049|FI-00049|AGT-009|049|F01|26/12/2025 09:30:00|0|2900000|0
BKG-00050|FI-00050|AGT-010|050|A02|29/12/2025 16:00:00|1|6200000|0
