FI-00001|VJ_HAN_SGN|VJ123|15/11/2025|08:00|15/11/2025|10:15|100|99|20|19|1500000|3000000
FI-00002|VJ_HAN_DAD|VJ456|16/11/2025|09:30|16/11/2025|11:00|100|99|20|19|1200000|2400000
FI-00003|QH_HAN_SGN|QH789|17/11/2025|14:00|17/11/2025|16:15|120|119|24|23|1600000|3200000
FI-00004|QH_SGN_DAD|QH321|18/11/2025|07:45|18/11/2025|09:30|120|120|24|24|1300000|2600000
FI-00005|VN_HAN_SGN|VN111|19/11/2025|06:00|19/11/2025|08:15|150|149|30|29|1800000|3600000
FI-00006|VN_SGN_DAD|VN222|20/11/2025|10:30|20/11/2025|12:00|150|150|30|30|1400000|2800000
FI-00007|BL_HAN_SGN|BL555|21/11/2025|13:15|21/11/2025|15:30|140|140|28|28|1550000|3100000
FI-00008|BL_SGN_HAN|BL666|22/11/2025|16:45|22/11/2025|19:00|140|140|28|28|1550000|3100000
FI-00009|VU_HAN_SGN|VU777|23/11/2025|11:00|23/11/2025|13:15|130|130|26|26|1650000|3300000
FI-00010|VU_SGN_HAN|VU888|24/11/2025|15:30|24/11/2025|17:45|130|130|26|26|1650000|3300000
